id,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
1,cream cheese,51,5,2.9,1.3,0.2,0.8,0.5,0.9,0,14.6,16,7.6,0.2,33,64,92,97,84,52,96,4,0,0,0.1,8,14.1,82,27,1.3,91,15.5,19.1,39,7.07
2,neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0,62.9,0.3,53.6,0.2,99,79,90,0.1,0.2,0.5,78,0,0,0.3,45,99.5,34,0.1,8.5,88,117.3,129.2,54,0.7,130.1
3,requeijao cremoso light catupiry,49,3.6,2.3,0.9,0,0.9,3.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
4,ricotta cheese,30,2,1.3,0.5,2,1.5,91,1.5,0,9.8,17,14.7,75,19,79,91,27,41,16,7,6,0,1,11,97,41.2,97,96,4,24,30.8,43.8,35,5196
5,cream cheese low fat,30,2.3,1.4,0.6,42,1.2,0.9,1.2,0,8.1,46,10,16,80,62,49,26,80,0.1,3,0,36,9,19,22.2,72,8,1.2,98,22.8,37.1,34,53,27007
6,cream cheese fat free,19,0.2,0.1,91,75,1.4,1,2.8,0,2.2,0.1,12.9,63,20,89,92,21,25,0.2,38,0,0,49,59,63.2,39,53,4,28,94.1,50,13,0.3,67679
7,gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0,30.8,0.2,9.3,61,21,72,78,4,43,0.2,51,0,34,35,48,283.1,33,94,10.1,2,169.4,22.7,79,1.1,300694
8,cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0,27.7,0.2,10.3,54,31,5,73,0.1,10,0.1,5,0,60,0.2,35,198.8,99,77,7.6,63,127.4,21.3,9,1,215.53
9,parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,46,6.4,0,12.2,0.2,5.4,67,62,99,59,57,39,60,66,0,95,18,21,213.1,51,0.1,7.9,73,124.9,16.6,45,0.5,224777
10,romano cheese,19,1.3,0.9,0.4,35,0.2,88,1.6,0,5.2,8,1.5,64,58,26,45,59,55,25,29,0,73,78,4,53.2,46,30,2.1,2,38,4.3,87,0.1,56.38
11,parmesan cheese grated,21,1.4,0.8,0.4,36,0.7,75,1.4,0,4.3,43,1.1,17,3,15,91,81,77,57,77,7,0,2,14,12,42.7,94,94,1.7,26,31.4,9,38,3745
12,port salut cheese,465,37.2,22,12.3,1,0.8,0.8,31.4,0,162.4,0.7,60,0.4,12,35,67,0.3,19,0.3,80,0,57,0.3,94,858,62,0.6,31.7,95,475.2,179.5,15,3.4,928.4
13,swiss cheese,98,7.7,4.6,2,0.3,0.4,0,6.7,0,23.3,57,9.4,69,8,27,8,18,58,0.1,36,0,16,0.2,56,222.5,26,24,8.3,62,143.5,18,31,1.1,237396
14,goat cheese hard,128,10.1,7,2.3,0.2,0.6,0.6,8.6,0,29.7,76,8.2,0.1,71,35,93,0.3,0.7,0.1,7,0,44,83,39,253.3,0.2,0.5,15.3,88,206.3,13.6,82,0.4,273.2
15,gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7,0,31.9,0.2,11.6,53,16,42,10,9,81,11,53,0,40,26,74,196,13,60,8.1,80,152.9,33.9,50,1.1,211424
16,pepper jack cheese lucerne,75,6,4,0,0,0,0,5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5
17,caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0,7.1,0,26.3,0.2,11.1,14,77,66,38,0.1,40,22,86,0,0,0,0,190.5,7,0.2,6.2,2,138.7,26.3,9,0.8,207072
18,gjetost cheese,1058,67,43.5,17.9,2.1,96.8,0,21.9,0,213.4,1.4,30.5,0.8,0.7,76,47,3.1,1.8,7.6,0.6,0,0,0,0,908,0.2,1.2,158.9,35,1007.90,3198.40,39,2.6,1095.7
19,tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0,9.8,0,40.8,0.3,17.1,57,36,72,58,0.1,68,0.1,36,0,0,0,0,280,33,10,5.2,86,200,26,26,1.4,301069
20,goat cheese,103,8.4,5.8,1.9,0.2,9,31,6.1,0,22.4,0.1,12.9,0.1,13,11,86,0.2,0.3,30,87,0,78,82,46,84.3,0.2,0.5,8.2,8,106.1,44.7,5,0.2,99494
21,brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7,0,28.2,0.2,12.3,16,42,59,74,0.1,85,86,33,0,42,72,64,202.2,93,0.1,7.2,85,135.3,40.8,56,0.8,219002
22,asadero cheese,402,31.9,20.3,9.1,1,3.2,3.2,25.5,0,118.7,0.7,47.6,98,34,5,43,0.3,0.2,0.3,24,0,71,0.3,20,746.9,67,0.6,29.4,24,500.6,97.2,96,3.4,808175
23,camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0,21.6,0.3,15.5,91,54,43,34,0.1,0.2,0.4,17,0,93,14,24,116.4,46,63,6,75,104.1,56.1,35,0.7,129826
24,provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4,0.6,27.9,0,62.2,1,57.2,0.2,50,63,79,0.4,0.2,0.5,61,0,27,0.2,76,854.3,77,0.6,31.6,96,560.5,155.9,54,3.6,906.9
25,roquefort cheese,314,26,16.4,7.2,1.1,1.7,0,18.3,0,76.5,1.5,33.5,0.2,92,37,2,0.5,0.6,1.5,0.1,0,0,0,0,562.7,5,0.5,25.5,36,333.2,77.4,81,1.8,609.4
26,queso blanco cheese,366,28.7,16.1,7.6,1.4,3,2.1,24,0,82.6,0.8,57.5,0.2,97,0,22,0.3,38,0.5,0.1,0,50,0.6,61,814.2,98,0.2,34.2,67,551.1,148.7,16,3.6,870.3
27,queso seco cheese,315,23.6,13.3,6.2,1.2,2,0.5,23.8,0,75.7,1.8,40.9,0.2,38,0,10,0.2,27,0.4,49,0,32,0.5,45,641.2,91,0.2,26.2,83,460.8,112.5,48,3.2,691.0
28,goat cheese soft,75,6,4.1,1.4,0.1,0,0.3,5.2,0,13.0,0.1,17.2,49,57,37,12,0.1,0.1,0.2,36,0,92,10,93,39.6,0.2,0.5,4.5,26,72.4,7.4,14,0.3,51311
29,mozzarella cheese,90,6.6,4.2,2,0.2,0.7,0,6.7,0,23.7,0.1,15,37,88,88,81,71,13,89,16,0,44,1,8,151.5,57,0.1,6,19,106.2,22.8,47,0.9,165648
30,chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0,138.6,0.8,51.7,7,53,31,82,0.3,0.2,0.4,61,0,89,0.3,11,859.3,30,0.6,30.4,47,583.4,68.6,71,4.6,934983
31,limburger cheese,98,8.2,5,2.6,0.1,0.1,0.1,6,0,27.0,0.2,14.5,0.1,21,95,82,0.2,9,0.4,2,0,4,55,46,149.1,36,11,6.3,54,117.9,38.4,29,0.6,163575
32,muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0,126.7,0.8,55.1,0.4,16,9,85,0.4,0.1,0.3,72,0,65,0.3,56,946.4,8,0.5,35.6,93,617.8,176.9,59,3.7,1019.4
33,queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0,84.2,0.9,62.7,0.3,19,29,76,0.2,50,0.4,60,0,55,0.5,87,690.5,25,0.2,29.3,53,469.7,157.4,73,3.1,745.8
34,brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0,30.0,0.2,14.5,14,40,25,73,0.2,0.1,0.2,1,0,68,78,56,55.2,15,0.2,6,47,56.4,45.6,40,0.7,70096
35,pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31,0.1,131.6,2,54.7,0.3,23,43,16,0.5,0.1,0.7,11,3.2,99,0.4,86,859.6,32,0.6,30.8,31,1041.60,226.8,89,4.2,940.9
36,mexican cheese,316,21.7,13,5.6,0.8,3.8,0.6,27.7,0,69.4,0.9,54,0.2,91,27,50,0.3,17,0,40,0,87,0.2,73,1283.50,34,0.1,39.2,0,653,104.2,6,4.8,1337.0
37,feta cheese,80,6.4,4,1.4,0.2,1.2,0,4.3,0,26.7,0.3,16.6,14,63,21,76,0.3,0.3,0.3,0.1,0,60,36,57,147.9,12,0.2,5.7,63,101.1,18.6,5,0.9,160058
38,mozzarella cheese fat free,159,0,0,0,0,4,1.7,35.8,2,20.3,0.8,68,0.1,79,11,25,0.3,0.1,0,55,0,0,0.2,18,1085.90,77,0.4,37.3,0,741.3,119.8,35,4.4,1128.2
39,provolone cheese,463,35.1,22.5,9.8,1,2.8,0.7,33.8,0,91.1,1.2,54.1,0.3,13,17,5,0.4,0.2,0.6,52,0,28,0.3,1,997.9,11,0.7,37,33,654.7,182.2,17,4.3,1070.6
40,anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0,138.6,1.5,50.2,98,69,81,77,0.3,88,0.3,11,0,32,0.3,78,897.6,58,0.6,37,67,586.1,114.8,95,3.9,972205
41,honey,64,0,0,0,0,17.3,17.2,80,25,0.0,11,3.6,0,0,22,0,3,12,30,4,0.1,0,0,0,1.3,61,17,0.4,98,0.8,10.9,21,8,18892
42,apple butter,35,63,38,66,64,8.5,7.1,45,0.3,0.0,3,11.3,0,78,20,0,53,92,5,57,0.1,0,60,75,2.8,85,25,0.8,93,1.6,18.2,78,95,11836
43,fruit jam,56,95,21,65,0,13.8,9.7,0,0.2,0.0,52,6.1,0,83,76,0,24,70,45,37,1.8,0,62,0,4,22,70,0.8,2,3.8,15.4,54,30,19919
44,chocolate hazelnut spread,100,5.5,5.3,0,0,11.5,10,1,1,0.0,99,0.2,0,5,20,42,36,72,100,56,0,0,0.9,71,20,61,0.8,11.8,0.2,28.1,75.3,21,0.2,39.8
45,peanut butter,88,7.4,1.4,3.1,1.7,3.6,1,3.3,0.9,0.0,85,0.2,0,0,81,63,0,41,2,0.2,78,0,0,0.9,0,8.1,79,0.3,26.9,0.2,50.3,88.8,44,15268
46,peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,3.8,1.2,0.0,28,0.3,0,91,79,0,25,2.5,0.2,49,0,0,1.2,46,11.2,0.1,0.4,25.4,0.3,54.3,126.8,78,0.5,27.3
47,chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,10.1,0.2,31.4,0.4,32.1,76,60,48,64,3,1.5,0.2,16,0,0,0,0,9,49,0.5,6.7,83,49.8,59.4,29,0.6,31972
48,cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,17,0,216.0,1.2,140.4,0.7,71,27,11,0.5,2.3,0,51,0,91,1.8,98,170.4,20,2.7,14.4,0,218.4,268.8,65,1.2,267.8
49,tahini,86,7.2,1,2.7,3.2,3.9,0,2.7,1.4,0.0,98,0.5,0,0.2,34,0,86,0.9,0.1,36,0,0,0,0,63,0.2,0.4,14.4,0.2,112.8,62.1,0,0.7,78.6
50,orange marmalade,49,0,0,0,0,13.3,12,14,0.1,0.0,16,6.6,0,98,60,0,75,65,28,46,1,0,89,0,7.6,76,53,0.4,55,0.8,7.4,57,46,22119
51,american cheese spread,46,3.4,2.1,1,62,1.4,1.2,2.6,0,8.8,0.3,7.6,43,12,66,22,76,89,0.1,86,0,14,22,46,89.9,61,79,4.6,62,140,38.7,52,0.4,97357
52,apricot jam,48,10,42,0,0,12.9,8.7,0.1,44,0.0,4,6.9,0,0,17,0,53,96,87,68,1.8,0,48,0,4,70,66,0.8,99,0.6,15.4,9,62,18.91
53,chunky peanut butter,94,8,1.2,3.7,2.2,3.5,1.3,3.8,1.3,0.0,30,0.2,0,18,94,0,13,2.2,0.2,72,0,0,1,16,7.2,2,0.3,25.6,0.3,51,119.2,45,0.4,24.1
54,ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0,2.4,0,9.2,0.2,8.9,30,0,94,35,66,0.3,98,41,0,0,0,0,32.6,87,0.1,2.7,63,74.3,24.3,65,0.3,38238
55,chicken and rice casserole homade,27,1,0,0,0,2.4,0,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
56,picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0,4.2,0,10.6,0.3,16.9,0,0.1,5,4,10,0.6,0.2,83,0,25,0,0,13.2,78,0.3,4.2,94,35,74.8,25,0.6,23.7
57,corn tamale,309,12,4.4,4,2.6,44.3,12.3,5.8,5.3,0.0,0.5,101.8,0,98,0,0,23,2.2,0.6,0.3,0,0,0.7,52,39.8,20,0.9,48.1,0.4,154.4,308.8,75,1,108.1
58,baked potato with cheese sauce bacon,451,25.9,10.1,9.7,4.8,44.4,0,18.4,0,29.9,1,194.4,0.2,0.3,11,7,0.2,4,1.3,0.7,28.7,0,0,0,308,0.6,3.1,68.8,0.5,346.8,1178.10,10,2.2,428.7
59,chinese egg roll,223,10.6,1.9,2.7,5,24.3,0,7.4,2.3,14.2,0.4,45,0,0.1,0,79,1,2.4,0.3,0.1,0,0,0,66,35.6,0.1,1.3,16,0.2,75.7,146.9,0,0.6,81.5
60,butter croissant,231,12,6.6,3.1,0.6,26.1,6.4,4.7,1.5,38.2,0.2,13.2,0.1,0.2,21,92,0.1,1.2,0.5,95,0.1,0,0.5,22,21.1,70,1.2,9.1,0.2,59.9,67.3,54,0.4,66.8
61,enchilada with cheese beef,323,17.6,9,6.1,1.4,30.5,0,11.9,0,40.3,1.3,128.4,16,56,75,36,0.4,2.5,1.4,0.3,1.3,0,0,0,228.5,0.5,3.1,82.6,0.6,167,574.1,92,2.7,292933
62,corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,20.6,2.6,75.5,1,166,0,0.2,13,62,0.1,3.7,1,0.5,2.1,0,57,17,44.8,0,2.4,30.7,0.2,132.2,405.9,34,3.3,118.6
63,biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,97,67,0.4,3.4,1.1,0.2,0,95,1.5,98,149.4,0.4,2.3,21.8,0.2,526.4,190,87,1.6,230.2
64,bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7,26.7,0.4,242.6,1.3,88.7,0.2,0.7,0.1,48,0.6,6,1.4,0.1,0,1,1.2,18,185.3,0.4,4.1,40.1,0.4,397.3,261.7,98,2.4,287.6
65,quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,76.7,0.1,0.4,73,12,0.3,7.6,0,0.1,0.2,100,0.5,30,484.2,0.1,3.2,45,0.5,563.4,329.4,25,2.6,588.7
66,corn rice,110,0.3,20,0,0.1,25.2,3,1.8,0.4,0.0,0.2,1.1,0.2,1.8,0,0,1.1,8.6,7,1.7,11.2,0,35,0,2.9,13,9.9,5.5,0.2,22.3,30.5,43,2.2,51.9
67,kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3,59,9.1,157.0,2.4,451.7,0,0.2,0,34,0.3,16.7,3,1.5,42.9,0,6.2,12,120.8,0.4,4.6,145,1.5,567.8,1316.70,97,4.5,320.1
68,beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,10.1,1.8,23.1,0.4,33.4,0,0.2,0,94,0.2,4.2,0.4,0.1,0,0,0.6,72,17.8,51,2.4,18.7,0.2,91.7,169.1,37,1.7,76.2
69,frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0,11.4,0,36.7,0.9,115.4,8,0.1,0.1,85,0.3,1.5,1.1,0.2,1.5,0,0,0,188.7,0.3,2.2,85.2,0.5,175.4,604.5,13,1.7,240305
70,burrito with beef,285,8.1,1.7,1.7,4,43.9,4.1,9.1,4.4,2.6,0.5,65.8,36,36,0.4,0.2,23,0.2,3.2,1.8,0.1,0.4,0,0.5,42,67.1,0.2,3.2,40,0.5,150.9,270.9,2,65.89
71,crispy chicken sandwich,350,17.6,3.3,4,8.4,33.2,3.9,14.8,0,0.0,0.7,57.9,0,0,0,0,0,0,0,0,0,0,0,0,46.6,90,1.9,25.2,0.3,229.3,233.1,0,0.7,114.1
72,enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,71.8,0.7,0.3,81,73,36,0.3,0.9,1.3,0.2,0.8,0,1.8,0,430.2,0.2,0.9,39.7,0.2,367.2,191.8,30,65.6
73,pork egg roll,189,6.1,1.3,2,2.1,25.1,4.5,8.4,1.8,11.9,0.3,43.6,0,0.2,19,71,23,1.9,0.4,0.1,24.9,85,0.2,64,28.9,24,1.3,17,0.3,77.4,180.2,71,0.8,96.5
74,corn on the cob with butter,155,3.4,1.6,1,0.6,31.9,0,4.5,0,5.8,56,105.2,4,0.2,45,0,0.1,2.2,0.4,0.3,6.9,0,0,0,4.4,0,0.9,40.9,0,108,359.2,34,0.9,52078
75,pancakes with butter syrup,260,7,2.9,2.6,1,45.4,0,4.1,0,29.0,0.6,57.7,15,0.2,82,46,0.3,1.7,0.3,51,1.7,0,0.7,0,63.8,73,1.3,24.4,0.2,237.8,125.3,75,0.5,123319
76,burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0,7,0,2.2,0.5,57,0,0.3,67,93,0.3,2,1,0.2,1,0,0,0,56.4,0.2,2.3,43.4,0.4,48.8,326.6,24,0.8,109.1
77,scrambled eggs,100,7.6,2.9,2.8,0.9,1,0.8,6.5,0,200.2,0.1,31.3,66,66,45,41,0.2,95,0.4,76,1.6,86,0.5,1,26.8,93,1.2,6.6,66,113.7,69.1,12,0.8,44726
78,baked potato with sour cream,393,22.3,10,7.9,3.3,50,0,6.7,0,24.2,0.2,209.7,0.2,0.3,86,9,0.2,3.7,1.5,0.8,33.8,0,0,0,105.7,0.7,3.1,69.5,0.6,184.2,1383.20,88,0.9,221.8
79,turkey and gravy,161,6.3,2,2.3,1.1,11.1,0,14.1,0,43.2,1.3,204.2,18,67,58,99,0.3,4.3,0.5,0.2,0,0,0,0,33.6,35,2.2,19.2,45,194.4,146.4,3,1.7,67374
80,chicken egg roll,158,3.6,0.8,1.1,1.5,22.8,4.5,8.4,1.9,11.2,0.4,43.3,85,0.2,13,19,0.1,2.9,0.5,0.2,9,0,0.3,72,37.6,56,1.4,24,0.3,94.4,224.8,32,0.4,84.75
81,vegetable egg roll,153,3.6,0.6,1,1.7,25,5.3,5.2,2.2,0.0,0.4,42.5,0,0.2,40,14,0.1,1.6,0.3,0.1,10.7,0,0.4,99,35.9,82,1.5,20.3,0.4,64.7,195,5,0.4,84.1
82,ham cheese roll,67,5.2,2,2.4,0.6,1.1,0,3.8,0,16.2,0.3,16.9,0,0.2,4,8,33,1,0.1,19,0,61,37,0,16.2,78,0.3,4.5,0,70.8,82.3,18,0.6,26.6
83,biscuit with ham,386,18.4,11.4,4.8,1,43.8,2.2,13.4,0.8,24.9,1.1,32.1,50,0.5,3,0,0.3,3.5,0.4,0.1,0.1,80,1.4,89,160.5,54,2.7,22.6,0.4,553.7,196.6,11,1.6,239732
84,lemon chicken,1440,74.9,12.2,16.4,36.7,122,55.2,68.6,7,203.8,1.5,363.6,99,0.3,69,28,0.4,23.3,3.1,1.5,15.9,45,8.1,0.2,248.4,0.2,8.4,95.6,0.6,821.7,987.4,1,3.2,545212
85,hummus,435,21.1,2.8,12,5.2,49.5,0.7,12,9.8,0.0,0.6,159.6,0,0.2,0.1,0,0.1,1,0.7,1,19.4,0,1.8,59,120.5,0.6,3.8,71.3,1.4,270.6,425.6,38,2.7,236.1
86,croissant with egg cheese,368,24.7,14.1,7.5,1.4,24.3,0,12.8,0,215.9,0.6,57.7,0,0.2,96,43,0.4,1.5,1.1,0.1,0.1,0,0,0,243.8,77,2.2,21.6,0.2,348,174,65,1.8,307.9
87,enchirito with cheese beef beans,344,16.1,7.9,6.5,0.3,33.8,0,17.9,0,50.2,1.3,121,74,0.2,28,51,0.7,3,1.8,0.2,4.6,0,0,0,218.1,0.3,2.4,71.4,0.4,223.9,559.7,16,2.8,292984
88,sweet sour pork,38,2.2,0.4,0.5,1,3.3,1.4,1.2,0.1,3.4,3,7.1,3,73,0,2,53,0.3,86,3,0.3,0,0.1,58,6.4,24,0.4,1.8,54,18.6,21.3,53,0.1,13977
89,crab cake,160,10.4,2.2,4.3,3.1,5.1,0,11.3,0.2,82.2,0.5,32,62,39,70,19,16,1.2,0.3,0.1,0.2,0,0,0,202.2,0.4,1.1,25.2,0.3,226.8,162,29,2.1,230596
90,egg dinner roll,107,2.2,0.6,1,0.4,18.2,1.5,3.3,1.3,17.5,0.2,10.6,51,0.2,96,60,0.2,1.2,0.2,65,0,0,0.1,82,20.7,40,1.2,8.8,0.2,35.4,36.4,66,0.4,46913
91,english muffin with egg cheese sausage,472,29.9,11.4,11.2,4.6,28.8,2.5,22.1,0.3,269.0,0.8,80.6,0.1,0.6,1,93,0.4,5.3,1.8,0.1,0,63,1.6,51,277.2,0.3,4.3,28.1,0.3,297,242.6,64,1.7,362.7
92,buttermilk pancakes,86,3.5,0.7,0.9,1.7,10.9,0,2.6,0,22.0,0.2,20,94,17,9,89,0.1,0.6,0.2,25,0.2,0,0,0,59.7,67,0.6,5.7,23,52.8,55.1,73,0.2,77568
93,omelet,94,7.1,2,3,1.7,0.4,0.2,6.4,0,190.9,13,46.4,0.4,0.1,6,41,55,0.2,90,0.8,3,0,98,0.8,50,29.3,70,0.9,6.7,31,101.9,71.4,30,14377
94,taco with chicken cheese lettuce,185,6.2,2.5,1.6,1.6,19.3,1.3,13,1.2,28.4,0.6,57.3,14,0.2,29,94,0.1,5.1,0,0.1,0.2,17,0.2,75,119.6,12,1.6,23.5,0.2,239.1,212.7,93,0.7,161153
95,spinach souffle,230,17.6,10.1,5,1,8,2.5,10.7,1,160.5,0.8,96.2,0.2,0.1,25,61,0.4,0.7,0.6,0.1,9.9,63,1.3,0.2,224.4,93,1.6,40.8,0.4,189,314.2,10,1.2,273.4
96,english muffin with cheese sausage,365,22.3,8.8,8.5,3.4,27.3,2.1,14.3,0.5,46.4,0.7,41,74,0.5,46,42,0.2,4.6,0.8,96,0,85,0.6,10,226.8,0.3,3.4,22.7,0.3,181.4,193.3,36,1.3,294696
97,potato gratin,328,18.6,11.6,5.3,0.7,27.6,0,12.4,4.4,56.4,1.1,181.3,0.2,0.2,53,0,0.3,2.4,0.9,0.4,24.3,0,0,0,291.6,0.4,1.6,49,0.4,276.9,970.2,36,1.7,380.7
98,biscuit with egg,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.1,2,0.4,3.4,0.9,0.2,0.1,27,1.5,37,149.4,77,2.3,21.8,0.3,526.4,190,7,1.6,230.3
99,french fries deep fried,222,10.5,1.7,4.2,3.8,29.4,0.2,2.4,2.7,0.0,0.1,27.4,63,0,0.1,2,0,8,2.1,0.4,0.3,3.3,0,1.2,75,12.8,38,0.6,24.9,0.2,88.8,411.1,19,45364
100,sweet sour chicken,46,2.3,0.4,0.5,1.2,4.4,2.1,1.8,0.2,4.9,43,9.5,31,2,0,57,15,0.7,0.1,24,0.4,0,0.2,98,8.2,98,0.4,2.7,100,24.7,28.9,40,57,17773
101,burrito with beans beef,460,18,7,7.8,1.4,47,5.3,27.8,7.2,62.7,1.4,144.6,96,0.4,0.2,88,0.3,5.3,0.8,0.5,4.6,59,1.1,22,216.9,0.3,4.6,60.3,0.6,392.8,648.3,31,4.8,326183
102,nachos with cinnamon sugar,592,36,18.2,11.8,4.1,63.4,0,7.2,0,39.2,0.4,1.1,0,0.2,59,56,0.4,3.9,1.9,0.2,8,0,0,0,85,0.2,2.9,19.6,0.5,32.7,78.5,44,0.6,202.5
103,arroz con grandules,209,5.7,0.9,1.2,2.7,35.4,0,4,1.6,0.0,0.7,67.7,0,10,0,0,76,0.6,0.3,26,0,0,0.8,66,9.2,0.1,0.3,16.1,0.7,62.1,96.6,0,0.9,56.2
104,chili con carne,271,8.8,3.2,3.6,1,33.1,4.7,14.7,8.3,22.8,1.1,191.5,0.4,95,49,5,91,29,2,3.6,0.3,0.5,0,1.3,63,83.5,0.6,3.4,70.8,0.4,220.1,667.9,39,66245
105,arroz con abichuelas,223,5.4,0.8,1.1,2.5,37.3,0.2,6.2,4.1,0.0,0.6,105.6,0,45,0,0,72,1.3,0.3,69,0,0,0.4,46,23.6,0.2,1.9,33,0.7,117.8,304.6,71,1.1,78.5
106,biscuit with sausage,412,27.1,8.2,13.5,3.4,33.3,1.8,10.7,0.4,31.1,0.9,36.4,0,0.4,78,12,0.2,3.8,0.5,31,0,44,0.9,35,52.2,0.3,2.1,14.4,0.2,378.5,169.8,12,0.8,125.8
107,vegetarian stew,304,7.4,1.2,1.8,3.8,17.3,3.1,42,2.7,0.0,1,172.9,0,1.7,0.3,93,1.5,29.6,0,2.7,0,0,1.2,41,76.6,1.6,3.2,313.7,0,543.4,296.4,50,2.7,149.2
108,chicken sandwich with cheese,632,38.8,12.4,13.7,9.9,41.6,0,29.4,0,77.5,1.2,104.9,0.2,0.4,0.1,92,0.5,9.1,1.3,0.4,3,0,0,0,257.6,0.2,3.6,43.3,0.4,405.8,332.9,73,2.9,374.2
109,biscuit with egg steak,410,28.4,8.6,11.7,5.8,21.3,0,17.9,0,272.3,0.9,77.7,0.2,0.4,18,63,0.5,3.1,1.1,0.2,0.1,0,0,0,137.6,0.1,5.3,25.2,0.2,225,306.4,39,2.8,210.8
110,taco salad,212,11.2,5.2,3.9,1.3,17.9,0,10,0,33.0,0.6,108.5,0,91,72,97,0.3,1.9,1,0.2,2.7,0,0,0,145.5,0.2,1.7,39,0.3,108,315,1,2,189.0
111,succotash,213,1.5,0.3,0.3,0.7,46.8,0,9.7,0,0.0,0.5,131.3,0,0.3,53,0,0.2,2.5,1.1,0.2,15.7,0,0,0,32.6,0.3,2.9,101.8,1.5,224.6,787.2,38,1.2,109.2
112,nachos with cheese jalapeno peppers,608,34.1,14,14.4,4,60.1,0,16.8,0,83.6,1.7,87.1,0.4,0.1,44,50,0.5,2.8,2.4,0.4,1,0,0,0,620.2,0.2,2.4,108.1,0.4,393.7,293.8,83,2.9,735.0
113,biscuit with egg ham,442,27,5.9,11,7.7,31.4,4.2,20.4,0.8,299.5,1.4,108.7,0.1,0.7,58,62,0.6,2,1.7,0.3,0,93,2.1,57,220.8,0.1,4.6,30.7,0.3,316.8,318.7,5,2.2,305.1
114,ladyfingers,103,2.6,0.9,1.1,0.4,16.9,7.2,3,0.3,62.5,16,5.5,0,96,78,50,0.1,0.6,0.3,77,1,33,0.2,2,13.3,63,1,3.4,63,49,32,37,0.3,38.1
115,mozzarella steak fried,102,5.9,2.2,1.5,1.6,7.7,0.7,4.6,0.6,10.2,0.2,11.8,23,25,97,45,88,0.3,0.1,18,0,96,0.3,71,107.9,20,0.2,6.8,52,99.8,35.7,94,0.6,126963
116,tamale navajo,285,11.4,4.5,5.1,1.3,33.7,1.8,11.7,5.8,31.6,0.8,126.7,0,57,69,32,0.1,3,0.4,0.3,3.2,0,0,0,53.9,0.1,2.3,40.9,0.3,184.1,243.7,53,2.8,122.0
